니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
658,6860025,304889,45736,38409,39384,43909,44617,38260,8384475,203259,55900,46945,48136,53666,54532,46762,7622250,254074,50818,42677,43760,48787,49574,42511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,6871500,305399,45813,38473,39450,43982,44691,38324,8398500,203599,55993,47023,48216,53756,54623,46841,7635000,254499,50903,42748,43833,48869,49657,42582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,6882975,305909,45889,38538,39516,44055,44766,38388,8412525,203939,56087,47102,48297,53846,54714,46919,7647750,254924,50988,42820,43906,48951,49740,42654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,7227124,321204,48183,40464,41491,46258,47004,40307,8833152,214136,58891,49456,50711,56537,57449,49264,8030138,267670,53537,44960,46101,51398,52227,44786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,7238599,321714,48260,40529,41557,46331,47079,40371,8847177,214476,58984,49535,50792,56627,57541,49343,8042888,268095,53622,45032,46175,51479,52310,44857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,7250074,322224,48336,40593,41623,46405,47153,40435,8861202,214816,59078,49613,50872,56717,57632,49421,8055638,268520,53707,45103,46248,51561,52392,44928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,7261549,322734,48413,40657,41689,46478,47228,40499,8875227,215156,59171,49692,50953,56807,57723,49499,8068388,268945,53792,45174,46321,51642,52475,44999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,7273024,323244,48489,40721,41755,46552,47302,40563,8889252,215496,59265,49770,51033,56896,57814,49577,8081138,269370,53877,45246,46394,51724,52558,45070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,7284499,323754,48566,40786,41821,46625,47377,40627,8903277,215836,59358,49849,51114,56986,57905,49656,8093888,269795,53962,45317,46467,51806,52641,45141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,7295974,324264,48642,40850,41886,46699,47452,40691,8917302,216176,59452,49927,51195,57076,57997,49734,8106638,270220,54047,45389,46540,51887,52724,45213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,7307449,324774,48719,40914,41952,46772,47526,40755,8931327,216516,59545,50006,51275,57166,58088,49812,8119388,270645,54132,45460,46614,51969,52807,45284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,7318924,325284,48795,40978,42018,46845,47601,40819,8945352,216856,59639,50085,51356,57256,58179,49890,8132138,271070,54217,45531,46687,52050,52890,45355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,7330399,325794,48872,41043,42084,46919,47676,40883,8959377,217196,59732,50163,51436,57345,58270,49968,8144888,271495,54302,45603,46760,52132,52973,45426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,7341874,326304,48948,41107,42150,46992,47750,40947,8973402,217536,59826,50242,51517,57435,58361,50047,8157638,271920,54387,45674,46833,52214,53056,45497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,7353349,326814,49025,41171,42216,47066,47825,41011,8987427,217876,59919,50320,51597,57525,58453,50125,8170388,272345,54472,45746,46906,52295,53139,45568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,7364824,327324,49101,41235,42282,47139,47900,41075,9001452,218216,60013,50399,51678,57615,58544,50203,8183138,272770,54557,45817,46980,52377,53222,45639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,7376299,327834,49178,41299,42348,47213,47974,41139,9015477,218556,60106,50477,51758,57704,58635,50281,8195888,273195,54642,45888,47053,52459,53305,45710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,7387774,328344,49254,41364,42413,47286,48049,41203,9029502,218896,60200,50556,51839,57794,58726,50360,8208638,273620,54727,45960,47126,52540,53388,45781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,7399249,328854,49331,41428,42479,47360,48123,41267,9043527,219236,60293,50634,51919,57884,58817,50438,8221388,274045,54812,46031,47199,52622,53470,45852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,7410724,329364,49407,41492,42545,47433,48198,41331,9057552,219576,60387,50713,52000,57974,58909,50516,8234138,274470,54897,46102,47272,52703,53553,45924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,7422199,329874,49484,41556,42611,47506,48273,41395,9071577,219916,60480,50791,52080,58063,59000,50594,8246888,274895,54982,46174,47346,52785,53636,45995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,7433674,330384,49560,41621,42677,47580,48347,41459,9085602,220256,60574,50870,52161,58153,59091,50672,8259638,275320,55067,46245,47419,52867,53719,46066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,7445149,330894,49637,41685,42743,47653,48422,41523,9099627,220596,60667,50948,52241,58243,59182,50751,8272388,275745,55152,46317,47492,52948,53802,46137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,7817406,347438,52119,43770,44880,50036,50843,43600,9554608,231626,63701,53496,54854,61156,62142,53289,8686007,289532,57910,48633,49867,55596,56493,48444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,7829556,347978,52200,43838,44950,50114,50922,43667,9569458,231986,63800,53579,54939,61251,62238,53371,8699507,289982,58000,48708,49944,55682,56580,48519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,7841706,348518,52281,43906,45020,50192,51001,43735,9584308,232346,63899,53662,55024,61346,62335,53454,8713007,290432,58090,48784,50022,55769,56668,48595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,7853856,349058,52362,43974,45090,50270,51080,43803,9599158,232706,63998,53745,55109,61441,62432,53537,8726507,290882,58180,48860,50099,55855,56756,48670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,7866006,349598,52443,44042,45159,50347,51159,43871,9614008,233066,64097,53829,55195,61536,62528,53620,8740007,291332,58270,48935,50177,55942,56844,48745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,7878156,350138,52524,44110,45229,50425,51238,43938,9628858,233426,64196,53912,55280,61631,62625,53703,8753507,291782,58360,49011,50254,56028,56932,48821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,7890306,350678,52605,44178,45299,50503,51317,44006,9643708,233786,64295,53995,55365,61726,62721,53785,8767007,292232,58450,49086,50332,56114,57019,48896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,7902456,351218,52686,44246,45369,50581,51396,44074,9658558,234146,64394,54078,55450,61821,62818,53868,8780507,292682,58540,49162,50409,56201,57107,48971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,7914606,351758,52767,44314,45438,50658,51476,44142,9673408,234506,64493,54161,55536,61916,62915,53951,8794007,293132,58630,49237,50487,56287,57195,49046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,7926756,352298,52848,44382,45508,50736,51555,44210,9688258,234866,64592,54244,55621,62011,63011,54034,8807507,293582,58720,49313,50564,56374,57283,49122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,7938906,352838,52929,44450,45578,50814,51634,44277,9703108,235226,64691,54327,55706,62106,63108,54117,8821007,294032,58810,49389,50642,56460,57371,49197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,7951056,353378,53010,44518,45648,50892,51713,44345,9717958,235586,64790,54411,55791,62201,63204,54199,8834507,294482,58900,49464,50719,56546,57458,49272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,7963206,353918,53091,44586,45717,50969,51792,44413,9732808,235946,64889,54494,55877,62296,63301,54282,8848007,294932,58990,49540,50797,56633,57546,49348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,7975356,354458,53172,44654,45787,51047,51871,44481,9747658,236306,64988,54577,55962,62391,63397,54365,8861507,295382,59080,49615,50874,56719,57634,49423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,7987506,354998,53253,44722,45857,51125,51950,44548,9762508,236666,65087,54660,56047,62486,63494,54448,8875007,295832,59170,49691,50952,56806,57722,49498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,7999656,355538,53334,44790,45927,51203,52029,44616,9777358,237026,65186,54743,56132,62581,63591,54531,8888507,296282,59260,49767,51029,56892,57810,49573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,8011806,356078,53415,44858,45996,51281,52108,44684,9792208,237386,65285,54826,56218,62676,63687,54614,8902007,296732,59350,49842,51107,56978,57897,49649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,8023956,356618,53496,44926,46066,51358,52187,44752,9807058,237746,65384,54909,56303,62771,63784,54696,8915507,297182,59440,49918,51184,57065,57985,49724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,8036106,357158,53577,44994,46136,51436,52266,44819,9821908,238106,65483,54993,56388,62866,63880,54779,8929007,297632,59530,49993,51262,57151,58073,49799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,8048256,357698,53658,45062,46206,51514,52345,44887,9836758,238466,65582,55076,56473,62961,63977,54862,8942507,298082,59620,50069,51339,57238,58161,49875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,8450669,375583,56341,47315,48516,54090,54962,47131,10328595,250389,68861,57830,59297,66109,67176,57605,9389632,312986,62601,52572,53906,60099,61069,52368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,8462819,376123,56422,47383,48586,54167,55041,47199,10343445,250749,68960,57913,59382,66204,67272,57688,9403132,313436,62691,52648,53984,60186,61157,52444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,8474969,376663,56503,47451,48655,54245,55120,47267,10358295,251109,69059,57996,59468,66299,67369,57771,9416632,313886,62781,52723,54061,60272,61244,52519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,8487119,377203,56584,47519,48725,54323,55199,47335,10373145,251469,69158,58079,59553,66395,67465,57854,9430132,314336,62871,52799,54139,60359,61332,52594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,8499269,377743,56665,47587,48795,54401,55278,47403,10387995,251829,69257,58162,59638,66490,67562,57936,9443632,314786,62961,52875,54216,60445,61420,52669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,8511419,378283,56746,47655,48865,54478,55357,47470,10402845,252189,69356,58245,59723,66585,67659,58019,9457132,315236,63051,52950,54294,60531,61508,52745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,8523569,378823,56827,47723,48934,54556,55436,47538,10417695,252549,69455,58328,59809,66680,67755,58102,9470632,315686,63141,53026,54371,60618,61596,52820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,8535719,379363,56908,47791,49004,54634,55515,47606,10432545,252909,69554,58411,59894,66775,67852,58185,9484132,316136,63231,53101,54449,60704,61683,52895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,8547869,379903,56989,47859,49074,54712,55594,47674,10447395,253269,69653,58495,59979,66870,67948,58268,9497632,316586,63321,53177,54526,60791,61771,52971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,8560019,380443,57070,47927,49144,54789,55673,47741,10462245,253629,69752,58578,60064,66965,68045,58350,9511132,317036,63411,53253,54604,60877,61859,53046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,8572169,380983,57151,47995,49213,54867,55752,47809,10477095,253989,69851,58661,60150,67060,68141,58433,9524632,317486,63501,53328,54681,60963,61947,53121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,8584319,381523,57232,48063,49283,54945,55831,47877,10491945,254349,69950,58744,60235,67155,68238,58516,9538132,317936,63591,53404,54759,61050,62035,53196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,8596469,382063,57313,48131,49353,55023,55910,47945,10506795,254709,70049,58827,60320,67250,68335,58599,9551632,318386,63681,53479,54836,61136,62122,53272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,8608619,382603,57394,48199,49423,55100,55989,48012,10521645,255069,70148,58910,60405,67345,68431,58682,9565132,318836,63771,53555,54914,61223,62210,53347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,8620769,383143,57475,48267,49492,55178,56068,48080,10536495,255429,70247,58993,60491,67440,68528,58765,9578632,319286,63861,53630,54991,61309,62298,53422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,8632919,383683,57556,48335,49562,55256,56147,48148,10551345,255789,70346,59077,60576,67535,68624,58847,9592132,319736,63951,53706,55069,61396,62386,53498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,8645069,384223,57637,48403,49632,55334,56226,48216,10566195,256149,70445,59160,60661,67630,68721,58930,9605632,320186,64041,53782,55146,61482,62474,53573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,8657219,384763,57718,48471,49702,55411,56305,48283,10581045,256509,70544,59243,60746,67725,68817,59013,9619132,320636,64131,53857,55224,61568,62561,53648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,8669369,385303,57799,48539,49771,55489,56384,48351,10595895,256869,70643,59326,60832,67820,68914,59096,9632632,321086,64221,53933,55301,61655,62649,53724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,8681519,385843,57880,48608,49841,55567,56463,48419,10610745,257229,70742,59409,60917,67915,69011,59179,9646132,321536,64311,54008,55379,61741,62737,53799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,9115595,405136,60774,51038,52333,58346,59287,50840,11141283,270090,74280,62380,63963,71311,72462,62138,10128439,337613,67527,56709,58148,64829,65874,56489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,9128420,405706,60860,51110,52407,58428,59370,50912,11156958,270470,74384,62468,64053,71412,72564,62225,10142689,338088,67622,56789,58230,64920,65967,56569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,9141245,406276,60945,51182,52481,58510,59454,50983,11172633,270850,74489,62556,64143,71512,72666,62313,10156939,338563,67717,56869,58312,65011,66060,56648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,9154070,406846,61031,51254,52554,58592,59537,51055,11188308,271230,74593,62643,64233,71612,72767,62400,10171189,339038,67812,56948,58394,65102,66152,56728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,9166895,407416,61116,51325,52628,58674,59620,51126,11203983,271610,74698,62731,64323,71713,72869,62488,10185439,339513,67907,57028,58475,65193,66245,56807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,9179720,407986,61202,51397,52702,58756,59704,51198,11219658,271990,74802,62819,64413,71813,72971,62575,10199689,339988,68002,57108,58557,65285,66338,56886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,9192545,408556,61287,51469,52775,58838,59787,51269,11235333,272370,74907,62907,64503,71913,73073,62663,10213939,340463,68097,57188,58639,65376,66430,56966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,9205370,409126,61373,51541,52849,58920,59871,51341,11251008,272750,75011,62994,64593,72014,73175,62750,10228189,340938,68192,57268,58721,65467,66523,57045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,9218195,409696,61458,51613,52922,59002,59954,51412,11266683,273130,75116,63082,64683,72114,73277,62837,10242439,341413,68287,57347,58803,65558,66616,57125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,9231020,410266,61544,51684,52996,59085,60037,51484,11282358,273510,75220,63170,64773,72214,73379,62925,10256689,341888,68382,57427,58885,65649,66708,57204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,9243845,410836,61629,51756,53070,59167,60121,51555,11298033,273890,75325,63258,64863,72315,73481,63012,10270939,342363,68477,57507,58966,65741,66801,57284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,9256670,411406,61715,51828,53143,59249,60204,51627,11313708,274270,75429,63345,64953,72415,73583,63100,10285189,342838,68572,57587,59048,65832,66894,57363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,9269495,411976,61800,51900,53217,59331,60288,51698,11329383,274650,75534,63433,65043,72515,73685,63187,10299439,343313,68667,57667,59130,65923,66986,57443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,9282320,412546,61886,51972,53291,59413,60371,51770,11345058,275030,75638,63521,65133,72616,73787,63274,10313689,343788,68762,57746,59212,66014,67079,57522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,9295145,413116,61971,52043,53364,59495,60455,51842,11360733,275410,75743,63609,65223,72716,73889,63362,10327939,344263,68857,57826,59294,66105,67172,57602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,9307970,413686,62057,52115,53438,59577,60538,51913,11376408,275790,75847,63696,65313,72816,73991,63449,10342189,344738,68952,57906,59375,66197,67264,57681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,9320795,414256,62142,52187,53511,59659,60621,51985,11392083,276170,75952,63784,65403,72917,74093,63537,10356439,345213,69047,57986,59457,66288,67357,57761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,9333620,414826,62228,52259,53585,59741,60705,52056,11407758,276550,76056,63872,65493,73017,74195,63624,10370689,345688,69142,58065,59539,66379,67450,57840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,9346445,415396,62313,52331,53659,59823,60788,52128,11423433,276930,76161,63960,65583,73117,74297,63712,10384939,346163,69237,58145,59621,66470,67542,57920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,9359270,415966,62399,52402,53732,59905,60872,52199,11439108,277310,76265,64047,65673,73218,74399,63799,10399189,346638,69332,58225,59703,66561,67635,57999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,9827233,436764,65519,55023,56419,62901,63915,54809,12011063,291176,80079,67250,68957,76879,78119,66989,10919148,363970,72799,61137,62688,69890,71017,60899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,9840058,437334,65605,55095,56493,62983,63999,54881,12026738,291556,80183,67338,69047,76979,78221,67077,10933398,364445,72894,61216,62770,69981,71110,60979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,9852883,437904,65690,55167,56566,63065,64082,54952,12042413,291936,80288,67426,69137,77080,78323,67164,10947648,364920,72989,61296,62852,70072,71203,61058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,9865708,438474,65776,55238,56640,63147,64166,55024,12058088,292316,80392,67513,69227,77180,78425,67252,10961898,365395,73084,61376,62933,70164,71295,61138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,9878533,439044,65861,55310,56714,63229,64249,55096,12073763,292696,80497,67601,69317,77280,78527,67339,10976148,365870,73179,61456,63015,70255,71388,61217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,9891358,439614,65947,55382,56787,63311,64333,55167,12089438,293076,80601,67689,69407,77381,78629,67426,10990398,366345,73274,61535,63097,70346,71481,61297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,9904183,440184,66032,55454,56861,63393,64416,55239,12105113,293456,80706,67777,69497,77481,78731,67514,11004648,366820,73369,61615,63179,70437,71573,61376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,9917008,440754,66118,55526,56935,63476,64499,55310,12120788,293836,80810,67865,69587,77581,78833,67601,11018898,367295,73464,61695,63261,70528,71666,61456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,9929833,441324,66203,55597,57008,63558,64583,55382,12136463,294216,80915,67952,69677,77682,78934,67689,11033148,367770,73559,61775,63342,70620,71759,61535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,9942658,441894,66289,55669,57082,63640,64666,55453,12152138,294596,81019,68040,69767,77782,79036,67776,11047398,368245,73654,61855,63424,70711,71851,61615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,9955483,442464,66374,55741,57155,63722,64750,55525,12167813,294976,81124,68128,69857,77882,79138,67863,11061648,368720,73749,61934,63506,70802,71944,61694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,9968308,443034,66460,55813,57229,63804,64833,55596,12183488,295356,81228,68216,69947,77983,79240,67951,11075898,369195,73844,62014,63588,70893,72037,61774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,9981133,443604,66545,55885,57303,63886,64916,55668,12199163,295736,81333,68303,70037,78083,79342,68038,11090148,369670,73939,62094,63670,70984,72129,61853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,9993958,444174,66631,55956,57376,63968,65000,55739,12214838,296116,81437,68391,70127,78183,79444,68126,11104398,370145,74034,62174,63752,71076,72222,61932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,10006783,444744,66716,56028,57450,64050,65083,55811,12230513,296496,81542,68479,70217,78283,79546,68213,11118648,370620,74129,62253,63833,71167,72315,62012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,10019608,445314,66802,56100,57524,64132,65167,55882,12246188,296876,81646,68567,70307,78384,79648,68301,11132898,371095,74224,62333,63915,71258,72407,62091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,10032433,445884,66887,56172,57597,64214,65250,55954,12261863,297256,81751,68654,70397,78484,79750,68388,11147148,371570,74319,62413,63997,71349,72500,62171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,10045258,446454,66973,56244,57671,64296,65333,56025,12277538,297636,81855,68742,70487,78584,79852,68475,11161398,372045,74414,62493,64079,71440,72593,62250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,10058083,447024,67058,56315,57744,64378,65417,56097,12293213,298016,81960,68830,70577,78685,79954,68563,11175648,372520,74509,62573,64161,71532,72685,62330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,10070908,447594,67144,56387,57818,64461,65500,56168,12308888,298396,82064,68918,70667,78785,80056,68650,11189898,372995,74604,62652,64242,71623,72778,62409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,10574454,469974,70501,59206,60709,67683,68775,58977,12924332,313316,86167,72363,74200,82724,84058,72083,11749393,391645,78334,65785,67454,75204,76417,65530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,10587954,470574,70591,59282,60786,67770,68863,59052,12940832,313716,86277,72456,74294,82830,84166,72175,11764393,392145,78434,65869,67540,75300,76514,65613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,10601454,471174,70681,59358,60864,67856,68951,59127,12957332,314116,86387,72548,74389,82935,84273,72267,11779393,392645,78534,65953,67627,75396,76612,65697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,10614954,471774,70771,59433,60941,67943,69038,59203,12973832,314516,86497,72640,74484,83041,84380,72359,11794393,393145,78634,66037,67713,75492,76709,65781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,10628454,472374,70861,59509,61019,68029,69126,59278,12990332,314916,86607,72733,74579,83147,84488,72451,11809393,393645,78734,66121,67799,75588,76807,65864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,10641954,472974,70951,59584,61096,68115,69214,59353,13006832,315316,86717,72825,74673,83252,84595,72543,11824393,394145,78834,66205,67885,75684,76904,65948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,10655454,473574,71041,59660,61174,68202,69302,59428,13023332,315716,86827,72918,74768,83358,84702,72635,11839393,394645,78934,66289,67971,75780,77002,66032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,10668954,474174,71131,59735,61251,68288,69390,59504,13039832,316116,86937,73010,74863,83463,84810,72727,11854393,395145,79034,66373,68057,75876,77100,66115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,10682454,474774,71221,59811,61329,68375,69477,59579,13056332,316516,87047,73102,74957,83569,84917,72819,11869393,395645,79134,66457,68143,75972,77197,66199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
